博主,id,时间,来源,收藏,转发,评论,点赞,艾特,标签,内容
大公文匯網,7476748260,04月15日 23:00,微博 weibo.com,,3,4,7,,#外交部召见日本驻华大使提出严正交涉#,外交部部长助理吴江浩15日召见日本驻华大使垂秀夫，就日本政府决定以海洋排放方式处置福岛核电站事故废水提出严正交涉。O网页链接 ​
山西安泽反邪教,6267961910,04月15日 22:55,无邪君的Android,,,,,,#外交部召见日本驻华大使提出严正交涉#,外交部召见日本大使：收回核废水排放入海错误决定！（新华网） L中国反邪教的微博视频 ​
感光元件Thousand,7226955738,04月15日 21:26,Android,,,,,,-,日本鬼子就是以核污水作为核脏弹对整个海洋生态，整个地球生态，对整个人类进行无差别的攻击，就凭这一点，日本鬼子值得再挨两个原子弹。这个昏招到底是美国人逼迫小鬼子干的，还是小鬼子自己送给美国人的，害得美国人，欧洲人扯下道德底裤来支持小鬼子，确实是骇人听闻，匪夷所思。这也是世界大变局中应有的剧情，因为旧世界的老大如果不道德败坏，坏事干尽，大家伙怎么有机会推翻牠呢？美国现在居然堕落到了这般田地，看来也是气数已尽。 收起全文d
山西吕梁离石区反邪教,6290220575,04月15日 22:55,无邪君的Android,,,,,,#外交部召见日本驻华大使提出严正交涉#,外交部召见日本大使：收回核废水排放入海错误决定！（新华网） L中国反邪教的微博视频 ​
水月-SK,2618366333,04月14日 21:40,微博 weibo.com,,,,,,#西方媒体这一次却沉默了# 美国等西方发达国家向大海倾倒核废料，早已有漫长的历史。此次，#日本政府正式决定福岛核废水排海# 不过是对其有样学样。日本和美国等西方发达国家本质上是一丘之貉，西方此举，完全是对人不对事的双标做派。#外交部召见日本驻华大使提出严正交涉# #日本70年前排废致水俣病灾害持续存在#,【海洋在怒吼——发达国家核废料排海的历史】 O海洋在怒吼——发达国家核废料排海的历史 收起全文d
山西临县反邪教,6079011292,04月15日 22:55,无邪君的Android,,,,,,#外交部召见日本驻华大使提出严正交涉#,外交部召见日本大使：收回核废水排放入海错误决定！（新华网） L中国反邪教的微博视频 ​
俊五倍,1480554861,04月14日 22:19,搞笑视频超话,,,,,,#春日出道计划#,以我的人格担保，这粪水真的没问题 我叫孙火旺 搞笑视频 L我叫孙火旺的微博视频 ​
山西临汾尧都区反邪教,6269586875,04月15日 22:55,无邪君的Android,,,,,,#外交部召见日本驻华大使提出严正交涉#,外交部召见日本大使：收回核废水排放入海错误决定！（新华网） L中国反邪教的微博视频 ​
食不食鸡腿o3o,2140089800,04月15日 22:59,你妈超话,,,,1,,-,你妈你妈，真想把沈逸老师那期介绍日本排核废水的危害的视频甩到任豪和现在还喜欢他的他nt粉丝脸上。嘴皮子上下一碰就是带善人保护地球了？用谁的利益慷谁的慨呢 ​
山西代县反邪教,5219144702,04月15日 22:55,无邪君的Android,,,,,,#外交部召见日本驻华大使提出严正交涉#,外交部召见日本大使：收回核废水排放入海错误决定！（新华网） L中国反邪教的微博视频 ​
