博主,id,时间,来源,收藏,转发,评论,点赞,艾特,标签,内容
南昌新闻网,1664462585,04月16日 22:58,微博 weibo.com,,,,,,-,联合国人权专家：对日本将核废水排入大海的决定“深感失望”O联合国人权专家：对日本将核废水排入大海的决定“深感失望” ​
南昌新闻网,1664462585,04月16日 22:57,微博 weibo.com,,,,,,-,外交部召见日本驻华大使 就日方作出福岛核废水排海决定提出严正交涉O外交部召见日本驻华大使 就日方作出福岛核废水排海决定提出严正交涉 ​
笑傲江湖abc,1627216285,04月14日 08:15,HUAWEI Mate 30 5G,,,,,,-,真是巧了，今天各种贴吧，微博同时出现“世界各国核电站也会排冷却水”，“中国的核电站为什么也建在海边”，各种“提问”“讨论”，无一例外都在有意混淆“冷却用水”和“被芯堆泄露污染的水”，日本外务省刚刚拨的资金这就用上了。另，福岛核电站反应堆至今仍然在继续反应，为了控制堆芯就要不停地向内灌注海水，也就是说会源源不断的产生核废水。谁说只倒这一次的？ 收起全文d
浙江szl,2112452600,04月16日 21:18,微博 weibo.com,,,,,,#微博公开课#,"发布了头条文章：《薛定谔的太平洋——说说最近日本排核废水事件》 某核一名员工，以工作身份发表核废水观点，被另一名员工举报了,所以我本来也不想写什么，怎奈太多朋友要我发表看法了，于是就写一点吧  O薛定谔的太平洋——说说最近日本排核废水事件 ​"
天水在线官方微博,1659256790,04月16日 22:57,微博 weibo.com,,,,,,-,外交部召见日本驻华大使 就日方作出福岛核废水排海决定提出严正交涉<O外交部召见日本驻华大使 就日方作出福岛核废水排海决定提出严正交涉> ​
天水在线官方微博,1659256790,04月16日 22:57,微博 weibo.com,,,,,,-,联合国人权专家：对日本将核废水排入大海的决定“深感失望”<O联合国人权专家：对日本将核废水排入大海的决定“深感失望”> ​
广西网络广播电视台GXNTV,5474560716,04月16日 22:57,微博 weibo.com,,,,,,-,【外交部召见日本驻华大使 就日方作出福岛核废水排海决定提出严正交涉】据外交部网站消息，外交部部长助理吴江浩15日召见日本驻华大使垂秀夫，就日本政府决定以海洋排放方式处置福岛核电站事故废水提出严正交涉。O外交部召见日本驻华大使 就日方作出福岛核废水排海决定提出严正交涉 ​
Imp_Steve,5628234494,04月16日 22:57,哔哩哔哩移动客户端,,,,,,#bilibili#,“大明星”任豪呼吁中国帮日处理核废水？官媒点名痛批，影响恶劣！ UP主: 郭云神奇 O【神奇】“大明星”任豪呼吁中国帮日处理核废水？官媒点名痛批，影响恶劣！ (哔哩哔哩客户端下载 O网页链接) ​
桃渊明ya,5713541382,04月16日 21:18,微博 weibo.com,,,,,,#微博公开课#,"发布了头条文章：《薛定谔的太平洋——说说最近日本排核废水事件》 某核一名员工，以工作身份发表核废水观点，被另一名员工举报了,所以我本来也不想写什么，怎奈太多朋友要我发表看法了，于是就写一点吧  O薛定谔的太平洋——说说最近日本排核废水事件 ​"
胡言乱语笑思人,2992783382,04月15日 16:12,微博视频号,,,,,,#赵立坚请日本政客用核废水做饭洗衣#】日本一些政客费尽心机想证明核废水“清白”，那就请他们把核废水用来饮用、做饭、洗衣或灌溉。日本别以为得到了美国的“感谢”就吃了定心丸。#赵立坚说美国身体很诚实边点赞边禁止#,【日本大米、鱼类等产品进口。美国食品药品管理局强调，由于辐射和核污染相关公共卫生问题，已加强对日本受管制产品的监管。对美国这种政策，不知日本方面作何解释？（总台央视记者申杨 孔禄渊）L环球资讯的微博视频 收起全文d
一只愤怒的跳蚤,2912035161,04月16日 08:01,Redmi K20 Pro 真旗舰,,,,,,-,我就大概翻译转引了美国食品药品管理局FDA的一个文件，就被方舟子斥为造谣。然后他又说，赵立坚先生的讲话，也是在传播我的谣言。问题一：方舟子怎么断定赵“散布的谣言是乔木炮制的”，莫非他有他反对的特异功能？问题二：美国从2011年起，就对日本的一些海、农产品有禁令。3月4日的进口警告里，仍有限制，要求严加检查，这是事实。到底谁罔顾事实，借口反谣，实际造谣？ 收起全文d
广西网络广播电视台GXNTV,5474560716,04月16日 22:56,微博 weibo.com,,,,,,-,【联合国人权专家：对日本将核废水排入大海的决定“深感失望”】联合国有关人权专家15日发表共同声明，对日本政府以海洋排放方式处置福岛核电站事故核废水的决定“深感失望”，表示此举可能会影响太平洋地区数百万人的生命和生计。O联合国人权专家：对日本将核废水排入大海的决定“深感失望” ​
合肥在线,1732739184,04月16日 22:56,微博 weibo.com,,,,1,,-,【美国侵犯人权五宗罪之五：“双标灯塔”的“灯下黑”】在日本政府排放核废水入海的决定遭到日本国内外强烈质疑之际，向来自称注重环保、关心核安全的美国却为日本盟友公开“点赞”，如此“看人不看事”的态度令人瞠目。O网页链接 ​
邢应苔,6147099068,04月13日 09:11,微博 weibo.com,,,,1,,-,休渔季节，渔民在滩涂上晾晒、修补渔网。摄影师特意寻找到了这样的角度，让渔网流畅的线条在画面中呈河流形态展开，搁浅的渔船成了“河边”一景，仿佛一幅油画。图 | 福建霞浦县摄 | 陈嘉扬 ​
梨花乱窜72089,5475061871,04月16日 22:55,10086客户端,,,,,,-,日本核废水入海影响有多大？57天可“废掉”半个太平洋！O网页链接 ​
煌尉智,5930402616,04月16日 22:55,微博 weibo.com,,,,,,#日本核废水入海对中国有何影响#    赤语眼睛立刻直了，他忙不迭将鬼币都收好，笑得眼睛都看不见，说：#杨幂英伦侦探风大片#,“办法当然是有的，你带上这个。” ​
用户7295069024,7295069024,04月16日 22:55,科普中国,,,,,,-,近日关于日本决定将核废料排放到太平洋的消息公布后，一度成为所有人关注的焦点。毕竟核的威力大家多多少少都有点了解，更有专家称日本核废水可致「三致」------致癌致畸致突变。 O网页链接 ​
有幸识得咩的好,7214316205,04月16日 21:50,OPPO K7x,,,,1,,-,丑逼下海=海洋垃圾 ​
建丰CCHERE,1230409035,04月16日 21:18,微博 weibo.com,,,,,,#微博公开课#,"发布了头条文章：《薛定谔的太平洋——说说最近日本排核废水事件》 某核一名员工，以工作身份发表核废水观点，被另一名员工举报了,所以我本来也不想写什么，怎奈太多朋友要我发表看法了，于是就写一点吧  O薛定谔的太平洋——说说最近日本排核废水事件 ​"
记忆盟主,5879121085,04月16日 22:54,记忆微曝光超话,,,3,4,,"#韩国# 因抵制核废水入海,#韩国民众拉黑日本海鲜,各大超市张贴抵制公告# 日本的行为，可以定性为国际性的核恐怖袭击，其对象就是主要的东亚国家与太平洋沿岸国家，更远一些时间看，是整个世界都会遭殃。 #日本政府基本决定将福岛核污水排入大海#",记忆微曝光 L记忆微曝光的微博视频 ​
是陈炫呀,5687180510,04月16日 22:54,OPPO Reno5 5G,,,,,,-,今天真是微妙的一天。1.拜登气候问题特使访问上海；2.拜登密友团访台；3.日本首相菅义伟访美；4.美军开始撤出阿富汗。放弃幻想，准备战斗。美国这边与中国谈气候合作，那边允许日本排核废水到太平洋，呵呵驰名双标。 ​
钦南检察,2533920954,04月16日 22:54,微博视频号,,,,,,#日本渔业或遭毁灭性打击#】海鲜是日本料理的一大特色，刺身、寿司都要选用最新鲜的食材来制作。日本政府决定将福岛核废水排放入海的消息，引发了日本消费者的普遍担忧。野田拓朗经营鱼店已有30年，不少客人买鱼时都要询问产地，许多人对福岛海域的海产品会比较介意。受疫情影响，客人原本就比以前少，野田担心核废水入海会让生意越来越差。日本渔业团体指出，一旦福岛核废水入海，将使日本全国的渔业都遭到毁灭性打击，渔业相关从业人员的生存将面临巨大威胁。#联合国称日本排污影响将持续超100年#,【核废水入海 L央视网的微博视频 收起全文d
宁静海的菊石君,2609660273,04月16日 21:18,微博 weibo.com,,6,4,2,,#微博公开课#,"发布了头条文章：《薛定谔的太平洋——说说最近日本排核废水事件》 某核一名员工，以工作身份发表核废水观点，被另一名员工举报了,所以我本来也不想写什么，怎奈太多朋友要我发表看法了，于是就写一点吧  O薛定谔的太平洋——说说最近日本排核废水事件 ​"
一战打基础二战98555,7541822815,04月16日 22:53,OnePlus 5,,,,,,#日本政府正式决定福岛核废水排海#, 听沈逸大佬分析这个事时一直想的就是《寂静的春天 》里讲塑料的事。这些年也没少报道海里的鱼因为塑料而无辜的死去，但这些都是冰山一角，更可怕的是塑料可能会转化成分子级进入到动物的体内，这个级别的塑料是根本检查不出来的。当然，这些东西最终的流向就是食物链的顶端-人类。废水里的c14可是会随着水循环和光合作用影响的更多啊。 收起全文d
古镇珠山发布,5178570128,04月16日 22:53,微博视频号,,,,4,,#联合国称日本排污影响将持续超100年#,【“深感失望”！】联合国有关人权专家15日发表共同声明，对日本政府以海洋排放方式处置福岛核电站事故核废水的决定“深感失望”。声明表示，日本政府的这一决定非常令人担忧，因为上百万吨被污染的水排入大海后，可能会对许多人的生命和整个环境造成严重影响，对人类和环境的威胁可能会持续超过100年，从而对有关人权的保障构成极大威胁。声明说，日本应该切实履行防止有害物质泄漏并对其行为的风险进行充分评估，以更好地保护而不是损害海洋环境。 L央视网的微博视频 收起全文d
