userName,mentionName
Zermin,@starsandstripes 
ChinAmoureuse,@globaltimesnews 
reinharduhrig,@ctbto_alerts 
reinharduhrig,@ctbto_alerts 
reinharduhrig,@FoEJapan_en
reinharduhrig,@GreenpeaceEAsia 
reinharduhrig,@ctbto_alerts 
reinharduhrig,@ctbto_alerts
reinharduhrig,@business 
reinharduhrig,@UNHumanRights 
JetXie009,@Raju_Prasad_8 
JetXie009,@Jumptojohn 
JetXie009,@ChinaDaily 
JetXie009,@GretaThunberg 
BenMurphy1952,@DominicRaab
BenMurphy1952,@SecBlinken
BenMurphy1952,@OSCE
BenMurphy1952,"@UKParliament,"
BenMurphy1952,"@UNEP,"
BenMurphy1952,@BBCNews 
BenMurphy1952,@BorisJohnson
BenMurphy1952,@DominicRaab
BenMurphy1952,@pritipatel
BenMurphy1952,"@UKParliament,"
BenMurphy1952,"@UNEP,"
BenMurphy1952,@BBCNews 
BenMurphy1952,@SecBlinken
BenMurphy1952,@iaeaorg 
BenMurphy1952,@Tesco 
BenMurphy1952,@CNN 
BenMurphy1952,@guardian 
BenMurphy1952,"@GretaThunberg,"
BenMurphy1952,"@UNEP,"
BenMurphy1952,@WWF 
awalgonga2009,@UNEP
awalgonga2009,@IPCC_CH 
Jarvis_Qoo,@WEIWEIDAI4 
cbpcoyle,@dorfman_p 
cartoonmovement,@alexfalcoch: 
fhfventures,@Reuters 
21Hsinyu,@yahata11
21Hsinyu,@nytimes 
21Hsinyu,@SecBlinken 
21Hsinyu,@GretaThunberg 
21Hsinyu,@SecBlinken 
21Hsinyu,@Quicktake 
21Hsinyu,@POTUS 
21Hsinyu,@frontwheelskid
21Hsinyu,@globaltimesnews 
21Hsinyu,@mandiana7
21Hsinyu,@Reuters 
21Hsinyu,@rafaelmgrossi
21Hsinyu,@iaeaorg 
21Hsinyu,@ClaireStyle2
21Hsinyu,@nashville_brook
21Hsinyu,@HBabcock10 
21Hsinyu,@DExpress_Sport
21Hsinyu,@zhang_heqing 
21Hsinyu,@hernonronna
21Hsinyu,@CaviTweets
21Hsinyu,@POTUS 
21Hsinyu,@PacGeopolitics 
21Hsinyu,@ShingetsuNews 
21Hsinyu,@janetchenla
21Hsinyu,@pianqirpi 
isklove2ver,@kakakadodon
isklove2ver,@NoCCPNoNewChina 
isklove2ver,@NoCCPNoNewChina 
Polandin_com,@Czerwinska_KD
Polandin_com,@jakubwiech 
LifeVisio,@GuanGuanvideo 
LifeVisio,@PDChina 
LifeVisio,@CGTNOfficial 
LifeVisio,@ajitxsingh 
LifeVisio,@ChinaPlusNews 
LifeVisio,@CaoYi_MFA 
LifeVisio,@SpokespersonCHN
LifeVisio,@iaeaorg 
LifeVisio,@XHNews
LifeVisio,@iaeaorg 
GlobalNewsJapan,@sbsnews 
GlobalNewsJapan,@TheMainichi 
GlobalNewsJapan,@JapanTimes 
GlobalNewsJapan,@The_Hankyoreh 
GlobalNewsJapan,@Reuters 
RyuseiNagatomo1,@yammy92298993
RyuseiNagatomo1,@RafaelMGrossi 
RyuseiNagatomo1,@yammy92298993
RyuseiNagatomo1,@rafaelmgrossi 
OuDCm86SQ6DinY0,@RyuichiYoneyama 
OuDCm86SQ6DinY0,@Narodovlastiye 
OuDCm86SQ6DinY0,@CDP2017 
OuDCm86SQ6DinY0,@koike_akira 
OuDCm86SQ6DinY0,@Dgoutokuji
OuDCm86SQ6DinY0,@Katsube_Genki 
OuDCm86SQ6DinY0,@x__ok 
OuDCm86SQ6DinY0,@knife900 
TruthTeam101,@CBSNews 
TruthTeam101,@EyeThink4Myself 
suomibreaking,@themainichi 
suomibreaking,@UN_SPExperts 
suomibreaking,@themainichi 
mag4300,@POTUS 
mag4300,@guardian 
mag4300,@POTUS 
mag4300,@SecBlinken 
mag4300,@SecBlinken
mag4300,@iaeaorg 
