餐廳名字,地址,地區,價格,餐廳種類,好評,差評,評論數,評分,人均價格,緯度,經度
十下,銅鑼灣登龍街28號永光中心2樓,銅鑼灣,$201-400,港式,422,8,500,4.0,300,22.28056,114.18667
Cafe Paradise (杏花邨),杏花邨盛泰道100號杏花新城地下G53A號舖,杏花邨,$51-100,意大利菜,449,7,500,4.0,75,22.1636,114.1424
渝味曉宇重慶老火鍋 (渣甸中心),銅鑼灣渣甸街50號渣甸中心8樓,銅鑼灣,$201-400,川菜 (四川),460,6,503,4.5,300,22.28056,114.18667
Add Some Thai Restaurant,觀塘開源道62號駱駝漆大廈一座9樓D室,觀塘,$101-200,泰國菜,369,28,507,4.0,150,22.31056,114.22278
The BASE nature,荃灣楊屋道1號荃新天地一期UG70號舖,荃灣,$50以下,西式,418,14,508,4.0,50,22.37806,114.10528
BRICK LANE Gallery,尖沙咀棉登徑17-23號地下,尖沙咀,$101-200,英國菜,362,37,511,4.0,150,22.2988,114.1722
為食仔海鮮火鍋專門店,旺角白布街4號地舖,旺角,$101-200,川菜 (四川),385,33,512,4.0,150,22.315031,114.173134
三川居酒屋,銅鑼灣軒尼詩道499號永光商業大廈地庫,銅鑼灣,$101-200,日本菜,460,5,513,4.0,150,22.28056,114.18667
Give Me 5,觀塘鴻圖道90號5樓,觀塘,$101-200,西式,430,20,514,4.0,150,22.31056,114.22278
茶園,灣仔港灣道1號君悅酒店閣樓,灣仔,$401-800,西式,341,46,514,4.0,600,22.2775,114.17306
Lo Spazio,銅鑼灣恩平道42號亨利中心7樓,銅鑼灣,$201-400,意大利菜,457,10,515,4.0,300,22.28056,114.18667
GREEN,尖沙咀科學館道17號唯港薈地下,尖沙咀,$201-400,西式,333,26,517,4.0,300,22.2988,114.1722
荳子 (PopCorn),將軍澳唐賢街9號PopCorn商場1樓F95號舖,將軍澳,$101-200,西式,333,17,520,4.0,150,22.309093,114.261688
家賀屋刺身寿司專門店,灣仔灣仔道83號1樓,灣仔,$101-200,日本菜,453,13,521,4.0,150,22.2775,114.17306
S2 鐵板燒,佐敦偉晴街29-37號地下6號舖,佐敦,$401-800,日本菜,467,24,522,4.0,600,22.3049,114.1692
番茄師兄,深水埗基隆街255號地舖,深水埗,$51-100,港式,378,24,523,4.0,75,22.32917,114.16028
蘇媽.蘇媽馬來西亞茶餐室,深水埗基隆街251號地下,深水埗,$51-100,馬來西亞菜,288,35,526,3.5,75,22.32917,114.16028
牛之鍋,荃灣荃華街3號悅來坊2樓202號舖,荃灣,$101-200,日本菜,465,11,529,4.0,150,22.37806,114.10528
黑門水產すいさん,尖沙咀棉登徑8號地下3-4號舖,尖沙咀,$201-400,日本菜,481,16,530,4.5,300,22.2988,114.1722
牛魔,尖沙咀棉登徑8號地下5-6號舖,尖沙咀,$201-400,日本菜,493,7,532,4.5,300,22.2988,114.1722
味道樂居酒屋 (河內道),尖沙咀河內道2號地舖,尖沙咀,$101-200,日本菜,488,12,533,4.5,150,22.2988,114.1722
