餐廳名字,地址,地區,價格,餐廳種類,好評,差評,評論數,評分,人均價格,緯度,經度
吉列牛忌廉烏冬專門店 (彌敦道),旺角彌敦道726號17樓,旺角,$101-200,韓國菜,516,43,756,4.0,150,22.315031,114.173134
The Stadium,觀塘興業街4號The Wave 4樓,觀塘,$101-200,美國菜,559,32,756,4.0,150,22.31056,114.22278
米走雞 (太子藍馬之城),旺角彌敦道761號太子藍馬之城2樓,旺角,$201-400,港式,655,17,758,4.0,300,22.315031,114.173134
程班長台灣美食,荔枝角長沙灣道883號億利工業中心1樓102室,荔枝角,$51-100,台灣菜,450,32,766,3.5,75,22.33611,114.13361
i CREMERiA Café,旺角亞皆老街8號朗豪坊4樓13號舖,旺角,$51-100,日本菜,623,14,767,4.0,75,22.315031,114.173134
鳥居居酒屋,銅鑼灣軒尼詩道525號澳門逸園中心17樓,銅鑼灣,$201-400,日本菜,676,35,772,4.0,300,22.28056,114.18667
炊豕店 (加路連山道),銅鑼灣加路連山道11號地下,銅鑼灣,$51-100,港式,609,29,773,4.0,75,22.28056,114.18667
爆丼屋,旺角豉油街50號地下8號舖,旺角,$101-200,日本菜,330,109,774,3.5,150,22.315031,114.173134
青花,旺角奶路臣街17號The Forest 1樓107-108號舖,旺角,$101-200,泰國菜,543,47,783,4.0,150,22.315031,114.173134
Goobne Chicken (The Hart),尖沙咀赫德道4號The Hart 2樓,尖沙咀,$101-200,韓國菜,592,20,790,4.0,150,22.2988,114.1722
孖啡,旺角彌敦道577號高氏大樓4樓,旺角,$101-200,西式,602,40,797,4.0,150,22.315031,114.173134
慢煮工業,太子太子道西91號地舖,太子,$51-100,西式,573,52,800,4.0,75,22.296091,114.173248
Check-In Taipei,中環蘇豪荷李活道27號地舖,中環,$101-200,台灣菜,642,32,801,4.0,150,22.282598,114.16674
酒鍋 (V Point),銅鑼灣登龍街18號V Point 27樓,銅鑼灣,$201-400,粵菜 (廣東),680,37,801,4.0,300,22.28056,114.18667
Mini Friday (The Wave),觀塘興業街4號The Wave 3樓,觀塘,$101-200,西式,633,37,804,4.0,150,22.31056,114.22278
大本瀛日式放題,旺角西洋菜街1號兆萬中心10樓,旺角,$201-400,日本菜,707,24,817,4.0,300,22.315031,114.173134
霸嗎拉麵 (金巴利道),尖沙咀金巴利道26號地舖,尖沙咀,$51-100,日本菜,557,41,818,4.0,75,22.2988,114.1722
吉列牛忌廉烏冬專門店 (百樂中心),銅鑼灣耀華街3號百樂中心22樓,銅鑼灣,$101-200,韓國菜,725,16,826,4.0,150,22.28056,114.18667
肚餓了串燒烤焗專門店,尖沙咀亞士厘道17-19號6樓,尖沙咀,$101-200,港式,676,63,831,4.0,150,22.2988,114.1722
泰廚泰國菜館,旺角通菜街126號地下,旺角,$101-200,泰國菜,675,30,836,4.0,150,22.315031,114.173134
御滿屋日本料理,旺角彌敦道655號胡社生行1樓,旺角,$201-400,日本菜,696,56,837,4.0,300,22.315031,114.173134
S2 Kitchen,中環威靈頓街51號地下A舖,中環,$401-800,日本菜,711,55,841,4.0,600,22.282598,114.16674
Outdark (飛達商業中心),旺角彌敦道613號飛達商業中心2樓,旺角,$50以下,韓國菜,736,16,842,4.5,50,22.315031,114.173134
和氣食堂 (黃大仙中心),黃大仙正德街103號黃大仙中心南館地下G12A號舖,黃大仙,$101-200,日本菜,732,10,846,4.5,150,22.3548,114.1974
Mr. Crab by The Captain's House,灣仔莊士敦道74-78號一樓及地下C號舖,灣仔,$201-400,西式,746,24,847,4.0,300,22.2775,114.17306
URBAN Cafe (彌敦道),旺角彌敦道566-568A號僑建大廈2樓,旺角,$51-100,多國菜,749,4,856,4.5,75,22.315031,114.173134
Espuma (M88),中環威靈頓街2-8號威靈頓廣場M88 17樓,中環,$101-200,西班牙菜,683,32,857,4.0,150,22.282598,114.16674
Channel 3 Tapas Bar & Restaurant,太子通菜街228號地下,太子,$101-200,西班牙菜,786,21,869,4.0,150,22.296091,114.173248
第三站,旺角洗衣街39號金雞廣場25樓08-09室,旺角,$101-200,意大利菜,697,49,870,4.0,150,22.315031,114.173134
Plato Cafe & Bistro (彌敦道),油麻地彌敦道483-485號2樓,油麻地,$101-200,意大利菜,687,35,870,4.0,150,22.3069,114.1714
Cocina 3 Tapas Restaurant & Bar,大角咀海泓道1號奧海城三期地下G22號舖,大角咀,$101-200,西班牙菜,746,35,871,4.0,150,22.3198,114.1621
樂天皇朝 (利舞臺廣場),銅鑼灣波斯富街99號利舞臺廣場6樓,銅鑼灣,$101-200,粵菜 (廣東),639,30,872,4.0,150,22.28056,114.18667
薄荷葉泰國菜,元朗安康路怡康大廈地下12-13號舖,元朗,$101-200,泰國菜,652,55,872,4.0,150,22.44444,114.02583
荳子 (海壩街),荃灣海壩街99號地下,荃灣,$101-200,西式,526,45,877,4.0,150,22.37806,114.10528
樂園,尖沙咀北京道65-69號環球商業大廈2樓205-06室,尖沙咀,$201-400,西式,783,15,885,4.0,300,22.2988,114.1722
漁獲浜燒,銅鑼灣軒尼詩道525號澳門逸園中心18樓,銅鑼灣,$201-400,日本菜,846,7,889,4.5,300,22.28056,114.18667
Running 燒,旺角彌敦道726號9樓,旺角,$201-400,韓國菜,779,26,889,4.0,300,22.315031,114.173134
Via Tokyo,銅鑼灣禮頓道106-126號禮信大廈地下1A-1B號舖,銅鑼灣,$50以下,日本菜,639,14,890,4.0,50,22.28056,114.18667
茶聊,旺角砵蘭街189號1樓,旺角,$101-200,多國菜,659,29,891,4.0,150,22.315031,114.173134
阿來泰式地道風味,旺角通菜街97號地舖,旺角,$51-100,泰國菜,758,38,891,4.0,75,22.315031,114.173134
Gram cafe & pancakes,尖沙咀彌敦道100號The ONE 4樓L408舖,尖沙咀,$101-200,日本菜,549,117,897,3.5,150,22.2988,114.1722
PAN de PAIN Pancake & Sweets,尖沙咀河內道18號K11購物藝術館B1樓B111B及B111C號舖,尖沙咀,$51-100,日本菜,438,79,906,3.5,75,22.2988,114.1722
十和田總本店,尖沙咀金馬倫道42號華懋金馬倫中心地下,尖沙咀,$201-400,日本菜,801,22,910,4.5,300,22.2988,114.1722
Sky726,旺角彌敦道724-726號25樓,旺角,$201-400,法國菜,683,49,910,4.0,300,22.315031,114.173134
八幡屋涮涮鍋,旺角彌敦道628號瓊華中心12樓,旺角,$201-400,日本菜,753,58,911,4.0,300,22.315031,114.173134
The Grill Room (堪富利士道),尖沙咀堪富利士道6-6A號爵寓2樓,尖沙咀,$201-400,西式,781,31,912,4.5,300,22.2988,114.1722
Mini Friday (銀城廣場),旺角西洋菜南街2號銀城廣場9樓,旺角,$101-200,西式,720,38,913,4.0,150,22.315031,114.173134
元祖沾麵專門店,尖沙咀厚福街5-6號多富閣地下5號舖,尖沙咀,$101-200,日本菜,640,118,924,3.5,150,22.2988,114.1722
焱丸水產,尖沙咀棉登徑23號華楓大廈地下5&6號舖,尖沙咀,$201-400,日本菜,803,24,934,4.0,300,22.2988,114.1722
LAB EAT Restaurant & Bar (金巴利道),尖沙咀金巴利道87-89號僑豐大厦地下1-2號舖,尖沙咀,$201-400,西式,743,39,941,4.0,300,22.2988,114.1722
Dazzling Cafe (The ONE),尖沙咀彌敦道100號The ONE 3樓22號舖,尖沙咀,$101-200,多國菜,575,59,953,4.0,150,22.2988,114.1722
Mamaday,銅鑼灣霎西街28號必發大廈1樓,銅鑼灣,$101-200,多國菜,796,9,964,4.5,150,22.28056,114.18667
2DP,尖沙咀厚福街12至12號A藍馬商業大廈地下,尖沙咀,$101-200,港式,696,49,971,4.0,150,22.2988,114.1722
Cambo ขุนทอง (The ONE),尖沙咀彌敦道100號The ONE 4樓L403舖,尖沙咀,$101-200,泰國菜,661,81,972,4.0,150,22.2988,114.1722
Seoulmate (京都廣場),銅鑼灣駱克道491-499號京都廣場4樓,銅鑼灣,$101-200,韓國菜,752,41,978,4.0,150,22.28056,114.18667
嘉樂冰廳,荃灣新村街40B號地舖,荃灣,$51-100,港式,530,104,992,3.5,75,22.37806,114.10528
Burger Joys (君悅居),灣仔駱克道42-50號君悅居地下E舖,灣仔,$101-200,美國菜,874,17,1002,4.0,150,22.2775,114.17306
心之食堂,銅鑼灣耀華街3號百樂中心12樓1203室,銅鑼灣,$201-400,日本菜,863,39,1006,4.0,300,22.28056,114.18667
Burgeroom (美麗華廣場一期),尖沙咀彌敦道132號美麗華廣場一期2 樓 207 號舖,尖沙咀,$51-100,美國菜,876,20,1034,4.0,75,22.2988,114.1722
OPPA Coffee Bar Restaurant,尖沙咀金巴利街1號F地鋪,尖沙咀,$101-200,韓國菜,859,83,1037,4.0,150,22.2988,114.1722
Dodam Chicken (利舞臺廣場),銅鑼灣波斯富街99號利舞臺廣場18樓A號舖,銅鑼灣,$101-200,韓國菜,882,21,1042,4.0,150,22.28056,114.18667
CHEF STAGE de Eddy Chu,尖沙咀亞士厘道17-19號19樓,尖沙咀,$201-400,西式,925,35,1055,4.0,300,22.2988,114.1722
Little Vegas,銅鑼灣耀華街3號百樂中心25樓,銅鑼灣,$101-200,西式,866,35,1079,4.0,150,22.28056,114.18667
Bingo & Cook,銅鑼灣駱克道487-489號駱克駅2樓,銅鑼灣,$101-200,韓國菜,955,21,1108,4.0,150,22.28056,114.18667
慢煮工業,太子白楊街15-19號萬安大樓地下及1樓,太子,$101-200,西式,899,53,1110,4.0,150,22.296091,114.173248
鉄人旨花,銅鑼灣謝斐道477-481號肇明大廈2樓,銅鑼灣,$801以上,日本菜,1055,14,1112,4.5,801,22.28056,114.18667
小火焰韓式咖啡廳 (觀點中心),觀塘觀塘道410號觀點中心1樓1號舖,觀塘,$101-200,韓國菜,910,18,1122,4.0,150,22.31056,114.22278
神戶屋日韓放題,旺角西洋菜街1號兆萬中心8樓,旺角,$201-400,韓國菜,894,85,1122,4.0,300,22.315031,114.173134
The Captain's House,尖沙咀厚福街8號H8 18樓,尖沙咀,$201-400,西式,941,35,1129,4.0,300,22.2988,114.1722
芝樂坊餐廳,尖沙咀廣東道25號海港城港威商場地下G102號舖,尖沙咀,$101-200,美國菜,687,63,1136,4.0,150,22.2988,114.1722
The Grill Room (The L. Square),銅鑼灣駱克道459-461號The L. Square 5樓,銅鑼灣,$201-400,西式,936,46,1165,4.0,300,22.28056,114.18667
Ocio (煙廠街),旺角煙廠街33號朗廷軒地下B舖,旺角,$101-200,多國菜,881,69,1169,4.0,150,22.315031,114.173134
七福神和食亭,佐敦彌敦道311-313號1樓,佐敦,$101-200,日本菜,1003,33,1193,4.0,150,22.3049,114.1692
Yadllie Plate,旺角西洋菜街1號兆萬中心11樓,旺角,$101-200,韓國菜,918,50,1201,4.0,150,22.315031,114.173134
HeSheEat (銅鑼灣地帶),銅鑼灣記利佐治街2-10號銅鑼灣地帶2樓201號舖,銅鑼灣,$51-100,西式,941,46,1211,4.0,75,22.28056,114.18667
Espuma (H8),尖沙咀厚福街8號H8 2樓,尖沙咀,$101-200,西班牙菜,789,95,1228,3.5,150,22.2988,114.1722
Sodam Chicken,銅鑼灣耀華街3號百樂中心7樓,銅鑼灣,$101-200,韓國菜,987,63,1286,4.0,150,22.28056,114.18667
Shine,尖沙咀北京道12A號太子集團中心6樓,尖沙咀,$201-400,西式,1185,37,1342,4.0,300,22.2988,114.1722
HeSheEat (白布街),旺角白布街22號藝興大廈地下4號舖,旺角,$51-100,西式,1013,62,1391,4.0,75,22.315031,114.173134
Burgeroom (Fashion Walk),銅鑼灣百德新街50-56號Fashion Walk食街地下D舖,銅鑼灣,$101-200,美國菜,1133,68,1395,4.0,150,22.28056,114.18667
勝香園,中環美輪街2號排檔,中環,$50以下,港式,1038,80,1491,3.5,50,22.282598,114.16674
澳洲牛奶公司,佐敦白加士街47-49號地下,佐敦,$50以下,港式,1730,285,2901,3.5,50,22.3049,114.1692
